"zip","city","state","latitude","longitude","timezone","dst"
"00210","Portsmouth","NH","43.005895","-71.013202","-5","1"
"00211","Portsmouth","NH","43.005895","-71.013202","-5","1"
"00212","Portsmouth","NH","43.005895","-71.013202","-5","1"
"00213","Portsmouth","NH","43.005895","-71.013202","-5","1"
"00214","Portsmouth","NH","43.005895","-71.013202","-5","1"
"00215","Portsmouth","NH","43.005895","-71.013202","-5","1"
"00501","Holtsville","NY","40.922326","-72.637078","-5","1"
"00544","Holtsville","NY","40.922326","-72.637078","-5","1"
"00601","Adjuntas","PR","18.180103","-66.74947","-4","0"
"00602","Aguada","PR","18.363285","-67.18024","-4","0"
"00603","Aguadilla","PR","18.448619","-67.13422","-4","0"
"00604","Aguadilla","PR","18.498987","-67.13699","-4","0"
"00605","Aguadilla","PR","18.465162","-67.141486","-4","0"
"00606","Maricao","PR","18.182151","-66.9588","-4","0"
"00607","Aguas Buenas","PR","18.256995","-66.104657","-4","0"
"00609","Aibonito","PR","18.142002","-66.273278","-4","0"
"00610","Anasco","PR","18.288319","-67.13604","-4","0"
"00611","Angeles","PR","18.279531","-66.80217","-4","0"
"00612","Arecibo","PR","18.449732","-66.69879","-4","0"
"00613","Arecibo","PR","18.458093","-66.732732","-4","0"
"00614","Arecibo","PR","18.429675","-66.674506","-4","0"
"00615","Arroyo","PR","17.96977","-66.061459","-4","0"
"00616","Bajadero","PR","18.426748","-66.67669","-4","0"
"00617","Barceloneta","PR","18.455499","-66.55575","-4","0"
"00618","Barranquitas","PR","18.185463","-66.305827","-4","0"
"00622","Boqueron","PR","18.003125","-67.16745","-4","0"
"00623","Cabo Rojo","PR","18.08643","-67.15222","-4","0"
"00624","Penuelas","PR","18.055399","-66.72602","-4","0"
"00625","Caguas","PR","18.232109","-66.039087","-4","0"
"00626","Caguas","PR","18.235003","-66.037318","-4","0"
"00627","Camuy","PR","18.435246","-66.85644","-4","0"
"00631","Castaner","PR","18.186739","-66.85174","-4","0"
"00633","Cayey","PR","18.194527","-66.183467","-4","0"
"00634","Cayey","PR","18.111528","-66.177083","-4","0"
"00635","Ceiba","PR","18.262902","-65.646529","-4","0"
"00636","Rosario","PR","18.113284","-67.039706","-4","0"
"00637","Sabana Grande","PR","18.073078","-66.94864","-4","0"
"00638","Ciales","PR","18.308139","-66.49835","-4","0"
"00639","Cidra","PR","18.176094","-66.158728","-4","0"
"00640","Coamo","PR","18.077197","-66.359104","-4","0"
"00641","Utuado","PR","18.268896","-66.70519","-4","0"
"00643","Corozal","PR","18.341254","-66.315194","-4","0"
"00644","Coto Laurel","PR","18.049577","-66.55218","-4","0"
"00645","Culebra","PR","18.308508","-65.304732","-4","0"
"00646","Dorado","PR","18.442798","-66.27689","-4","0"
"00647","Ensenada","PR","17.964529","-66.93993","-4","0"
"00648","Fajardo","PR","18.333038","-65.656182","-4","0"
"00650","Florida","PR","18.363331","-66.56773","-4","0"
"00652","Garrochales","PR","18.457453","-66.61217","-4","0"
"00653","Guanica","PR","17.992112","-66.90097","-4","0"
"00654","Jobos","PR","17.979518","-66.117219","-4","0"
"00655","Olimpo","PR","17.976371","-66.116795","-4","0"
"00656","Guayanilla","PR","18.038866","-66.79168","-4","0"
"00658","Gurabo","PR","18.254137","-65.973605","-4","0"
"00659","Hatillo","PR","18.432956","-66.80039","-4","0"
"00660","Hormigueros","PR","18.139108","-67.12085","-4","0"
"00661","Humacao","PR","18.150829","-65.826595","-4","0"
"00662","Isabela","PR","18.478855","-67.01973","-4","0"
"00664","Jayuya","PR","18.212565","-66.59243","-4","0"
"00665","Ponce","PR","18.044224","-66.502103","-4","0"
"00666","Juncos","PR","18.228952","-65.921356","-4","0"
"00667","Lajas","PR","18.017819","-67.04226","-4","0"
"00669","Lares","PR","18.288418","-66.87503","-4","0"
"00670","Las Marias","PR","18.241343","-66.97604","-4","0"
"00671","Las Piedras","PR","18.1789","-65.869939","-4","0"
"00674","Manati","PR","18.426137","-66.48697","-4","0"
"00676","Moca","PR","18.37956","-67.08424","-4","0"
"00677","Rincon","PR","18.336121","-67.23675","-4","0"
"00678","Quebradillas","PR","18.442334","-66.93275","-4","0"
"00680","Mayaguez","PR","18.205232","-67.12655","-4","0"
"00681","Mayaguez","PR","18.219023","-67.508068","-4","0"
"00682","Mayaguez","PR","18.208402","-67.15428","-4","0"
"00683","San German","PR","18.092807","-67.04524","-4","0"
"00685","San Sebastian","PR","18.332595","-66.98104","-4","0"
"00687","Morovis","PR","18.31708","-66.41528","-4","0"
"00688","Sabana Hoyos","PR","18.40415","-66.61348","-4","0"
"00690","San Antonio","PR","18.495369","-67.09867","-4","0"
"00692","Vega Alta","PR","18.419666","-66.33186","-4","0"
"00693","Vega Baja","PR","18.440667","-66.3921","-4","0"
"00694","Vega Baja","PR","18.443109","-66.398302","-4","0"
"00698","Yauco","PR","18.06547","-66.85587","-4","0"
"00703","Aguas Buenas","PR","18.246205","-66.12827","-4","0"
"00704","Aguirre","PR","17.970112","-66.22291","-4","0"
"00705","Aibonito","PR","18.12942","-66.26541","-4","0"
"00707","Maunabo","PR","18.014505","-65.91018","-4","0"
"00714","Arroyo","PR","17.987288","-66.05552","-4","0"
"00715","Mercedita","PR","18.003492","-66.55868","-4","0"
"00716","Ponce","PR","17.999066","-66.59965","-4","0"
"00717","Ponce","PR","18.004303","-66.61374","-4","0"
"00718","Naguabo","PR","18.22048","-65.74293","-4","0"
"00719","Naranjito","PR","18.294571","-66.25098","-4","0"
"00720","Orocovis","PR","18.217827","-66.42265","-4","0"
"00721","Palmer","PR","18.364161","-65.778288","-4","0"
"00723","Patillas","PR","18.023196","-66.0131","-4","0"
"00725","Caguas","PR","18.233927","-66.04502","-4","0"
"00726","Caguas","PR","18.212965","-66.058033","-4","0"
"00728","Ponce","PR","18.013353","-66.65218","-4","0"
"00729","Canovanas","PR","18.35615","-65.89089","-4","0"
"00730","Ponce","PR","18.022626","-66.61727","-4","0"
"00731","Ponce","PR","18.077329","-66.61192","-4","0"
"00732","Ponce","PR","18.021781","-66.613742","-4","0"
"00733","Ponce","PR","18.019331","-66.619165","-4","0"
"00734","Ponce","PR","17.999499","-66.643934","-4","0"
"00735","Ceiba","PR","18.258444","-65.65987","-4","0"
"00736","Cayey","PR","18.112895","-66.15377","-4","0"
"00737","Cayey","PR","18.102967","-66.139274","-4","0"
"00738","Fajardo","PR","18.32265","-65.66116","-4","0"
"00739","Cidra","PR","18.16984","-66.16271","-4","0"
"00740","Puerto Real","PR","18.331711","-65.62761","-4","0"
"00741","Punta Santiago","PR","18.160755","-65.75765","-4","0"
"00742","Roosevelt Roads","PR","18.264872","-65.594769","-4","0"
"00744","Rio Blanco","PR","18.206329","-65.743058","-4","0"
"00745","Rio Grande","PR","18.366213","-65.82277","-4","0"
"00747","Lluveras","PR","18.069474","-66.952589","-4","0"
"00748","Fajardo","PR","18.326732","-65.652484","-4","0"
"00751","Salinas","PR","17.993803","-66.26534","-4","0"
"00752","San Antonio","PR","18.493745","-67.097726","-4","0"
"00754","San Lorenzo","PR","18.15633","-65.96831","-4","0"
"00757","Santa Isabel","PR","17.98631","-66.39457","-4","0"
"00761","Utuado","PR","18.265445","-66.702364","-4","0"
"00762","Vega Alta","PR","18.420218","-66.324284","-4","0"
"00763","Monserrate","PR","18.452175","-66.399836","-4","0"
"00764","Vega Baja","PR","18.452084","-66.397138","-4","0"
"00765","Vieques","PR","18.125664","-65.45603","-4","0"
"00766","Villalba","PR","18.126023","-66.48208","-4","0"
"00767","Yabucoa","PR","18.072752","-65.89703","-4","0"
"00768","Yauco","PR","18.030715","-66.856181","-4","0"
"00769","Coamo","PR","18.092813","-66.3611","-4","0"
"00771","Las Piedras","PR","18.18744","-65.87088","-4","0"
"00772","Loiza","PR","18.427674","-65.87605","-4","0"
"00773","Luquillo","PR","18.361344","-65.72133","-4","0"
"00775","Culebra","PR","18.311149","-65.29257","-4","0"
"00777","Juncos","PR","18.224088","-65.91316","-4","0"
"00778","Gurabo","PR","18.258628","-65.97791","-4","0"
"00780","Coto Laurel","PR","18.068538","-66.55939","-4","0"
"00782","Comerio","PR","18.223348","-66.2267","-4","0"
"00783","Corozal","PR","18.304874","-66.32305","-4","0"
"00784","Guayama","PR","17.984137","-66.12779","-4","0"
"00785","Guayama","PR","18.018822","-66.795603","-4","0"
"00786","La Plata","PR","18.128092","-66.268717","-4","0"
"00791","Humacao","PR","18.147257","-65.82269","-4","0"
"00792","Humacao","PR","18.138029","-65.788499","-4","0"
"00794","Barranquitas","PR","18.204294","-66.31058","-4","0"
"00795","Juana Diaz","PR","18.036253","-66.50289","-4","0"
"00801","St Thomas","VI","18.322285","-64.963715","-4","0"
"00802","St Thomas","VI","18.322285","-64.963715","-4","0"
"00803","St Thomas","VI","18.322285","-64.963715","-4","0"
"00804","St Thomas","VI","18.322285","-64.963715","-4","0"
"00805","St Thomas","VI","18.322285","-64.963715","-4","0"
"00820","Christiansted","VI","17.734211","-64.734694","-4","0"
"00821","Christiansted","VI","17.734211","-64.734694","-4","0"
"00822","Christiansted","VI","17.734211","-64.734694","-4","0"
"00823","Christiansted","VI","17.734211","-64.734694","-4","0"
"00824","Christiansted","VI","17.734211","-64.734694","-4","0"
"00830","St John","VI","18.32816","-64.740737","-4","0"
"00831","St John","VI","18.32816","-64.740737","-4","0"
"00840","Frederiksted","VI","17.734211","-64.734694","-4","0"
"00841","Frederiksted","VI","17.734211","-64.734694","-4","0"
"00850","Kingshill","VI","17.734211","-64.734694","-4","0"
"00851","Kingshill","VI","17.734211","-64.734694","-4","0"
"00901","San Juan","PR","18.465426","-66.10786","-4","0"
"00902","San Juan","PR","18.410462","-66.060533","-4","0"
"00906","San Juan","PR","18.46454","-66.10079","-4","0"
"00907","San Juan","PR","18.451131","-66.07798","-4","0"
"00908","San Juan","PR","18.410462","-66.060533","-4","0"
"00909","San Juan","PR","18.442282","-66.06764","-4","0"
"00910","San Juan","PR","18.410462","-66.060533","-4","0"
"00911","San Juan","PR","18.45009","-66.0577","-4","0"
"00912","San Juan","PR","18.445946","-66.05928","-4","0"
"00913","San Juan","PR","18.450907","-66.04256","-4","0"
"00914","San Juan","PR","18.410462","-66.060533","-4","0"
"00915","San Juan","PR","18.436995","-66.04888","-4","0"
"00916","San Juan","PR","18.410462","-66.060533","-4","0"
"00917","San Juan","PR","18.422263","-66.0513","-4","0"
"00918","San Juan","PR","18.417668","-66.06494","-4","0"
"00919","San Juan","PR","18.410462","-66.060533","-4","0"
"00920","San Juan","PR","18.41242","-66.09069","-4","0"
"00921","San Juan","PR","18.394019","-66.08633","-4","0"
"00922","San Juan","PR","18.410462","-66.060533","-4","0"
"00923","San Juan","PR","18.410681","-66.03806","-4","0"
"00924","San Juan","PR","18.401917","-66.01194","-4","0"
"00925","San Juan","PR","18.400006","-66.05028","-4","0"
"00926","San Juan","PR","18.361363","-66.0562","-4","0"
"00927","San Juan","PR","18.39184","-66.06867","-4","0"
"00928","San Juan","PR","18.410462","-66.060533","-4","0"
"00929","San Juan","PR","18.410462","-66.060533","-4","0"
"00930","San Juan","PR","18.410462","-66.060533","-4","0"
"00931","San Juan","PR","18.410462","-66.060533","-4","0"
"00933","San Juan","PR","18.410462","-66.060533","-4","0"
"00934","Fort Buchanan","PR","18.413511","-66.12198","-4","0"
"00935","San Juan","PR","18.410462","-66.060533","-4","0"
"00936","San Juan","PR","18.410462","-66.060533","-4","0"
"00937","San Juan","PR","18.410462","-66.060533","-4","0"
"00938","San Juan","PR","18.410462","-66.060533","-4","0"
"00939","San Juan","PR","18.410462","-66.060533","-4","0"
"00940","San Juan","PR","18.410462","-66.060533","-4","0"
"00949","Toa Baja","PR","18.433173","-66.2042","-4","0"
"00950","Toa Baja","PR","18.457761","-66.196503","-4","0"
"00951","Toa Baja","PR","18.457761","-66.196503","-4","0"
